,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
526,nm0243233,0,0,0,1,0,6,0,0,0,7,0,2,0,0,3,0,1,5,3,0,3,0,0,10,2015.0,41019.0,36259.0
527,nm0243355,4,0,0,1,0,17,0,9,0,21,0,0,2,1,0,0,2,4,1,0,5,0,0,28,2006.0,8216.0,4780.0
528,nm0243921,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1979.0,251.0,451.0
529,nm0244756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2009.0,1399.0,1399.0
530,nm0244782,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1986.0,147.0,182.0
531,nm0244999,3,0,0,1,1,3,0,5,1,14,0,0,0,0,0,0,1,2,0,0,2,0,0,18,1994.0,3923.0,231.0
532,nm0245112,0,0,0,0,1,1,0,0,0,5,1,0,0,0,2,1,3,1,2,0,3,0,0,7,2003.0,91379.0,28500.0
533,nm0249291,7,0,0,3,5,4,0,8,0,24,1,3,0,3,3,1,8,3,2,2,12,0,1,28,2014.0,118825.0,111656.0
534,nm0249528,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999.0,10870.0,10870.0
535,nm0251986,6,0,2,5,3,19,0,5,0,17,2,0,1,1,4,1,6,4,1,0,10,0,0,28,2013.0,148621.0,30144.0
536,nm0252230,9,0,1,7,5,4,0,5,0,16,2,2,0,3,0,1,2,4,7,1,7,0,0,23,2014.0,216350.0,47425.0
537,nm0252961,11,0,2,10,2,5,0,8,0,13,2,3,0,1,2,0,3,4,2,0,8,0,1,22,2015.0,149378.0,3466.0
538,nm0253018,2,0,0,0,0,15,0,5,0,17,0,0,1,0,0,0,0,6,0,0,6,0,0,25,2010.0,749.0,563.0
539,nm0255362,1,0,1,1,0,14,0,0,1,9,2,2,1,2,0,1,0,5,0,1,1,0,0,16,2008.0,7181.0,472.0
540,nm0257991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1971.0,16.0,2688.0
541,nm0262635,25,0,2,20,2,11,0,7,0,12,2,2,0,0,0,0,4,5,17,0,10,0,0,37,2013.0,457584.0,66099.0
542,nm0268543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1996.0,537.0,1386.0
543,nm0269329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007.0,13.0,13.0
544,nm0269463,0,0,0,1,1,8,0,1,0,5,0,0,0,1,0,0,0,4,0,2,1,0,0,9,2002.0,88783.0,444671.0
545,nm0269542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018.0,13006.0,159637.0
546,nm0269682,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1973.0,178.0,100.0
547,nm0270830,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1987.0,37185.0,100.0
548,nm0271501,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1989.0,12263.0,6385.0
549,nm0272401,2,0,3,3,1,5,1,1,0,2,4,2,0,1,0,0,0,3,0,0,0,0,0,7,2006.0,180746.0,2178.0
550,nm0273178,0,0,0,0,0,2,0,0,0,5,0,2,1,0,0,0,0,1,0,0,0,0,0,5,1983.0,9356.0,1761.0
551,nm0275093,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012.0,22.0,71.0
